Actual,Predicted,Error
6190.0,6411.1,-221.10000000000036
28970.0,33186.5,-4216.5
8060.0,7417.7,642.3000000000002
147380.0,141890.4,5489.600000000006
377790.01,377287.59789999994,502.41210000007413
56110.0,56510.0,-400.0
10530.0,9831.4,698.6000000000004
24380.0,23068.5,1311.5
4990709.96,5036630.385399996,-45920.42539999634
12410.0,11863.8,546.2000000000007
1567170.0,1555771.4826999996,11398.517300000414
1190.0,1537.5,-347.5
7910.0,8575.8,-665.7999999999993
11520.0,11720.9,-200.89999999999964
2330.0,2617.5,-287.5
3320.0,3173.9,146.0999999999999
42130.0,40396.4,1733.5999999999985
2330.0,2617.5,-287.5
4880.0,6097.5,-1217.5
16610.0,15936.4,673.6000000000004
471630.0,466512.39050000004,5117.609499999962
200.0,192.8,7.199999999999989
4060.0,4062.0,-2.0
